Source: ACS 5-Year Estimates - Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: default universe (usually US)"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes","Total","Male","Female"
"HLS-Massage Therapists","216462","40519","175943"
"HLS-Dental Assistants","352316","22672","329644"
"HLS-Medical Assistants","622437","56864","565573"
"HLS-Medical Transcriptionists","66257","8002","58255"
"HLS-Pharmacy Aides","49699","11269","38430"
"HLS-Veterinary Assistants And Laboratory Animal Caretakers","66685","11201","55484"
"HLS-Phlebotomists","133342","18534","114808"
"HLS-Other Healthcare Support Workers","192753","54707","138046"
"PRT-First-Line Supervisors Of Correctional Officers","68077","49128","18949"
"PRT-First-Line Supervisors Of Police And Detectives","127645","108187","19458"
"PRT-First-Line Supervisors Of Fire Fighting And Prevention Workers","57438","54853","2585"
"PRT-Miscellaneous First-Line Supervisors, Protective Service Workers","92228","68153","24075"
"PRT-Firefighters","334432","318487","15945"
"PRT-Fire Inspectors","25842","22248","3594"
"PRT-Bailiffs","35909","26388","9521"
"PRT-Correctional Officers And Jailers","450563","326563","124000"
"PRT-Detectives And Criminal Investigators","145058","106200","38858"
"PRT-Police Officers","849214","728296","120918"
"PRT-Fish And Game Wardens And Parking Enforcement Officers","17504","12083","5421"
"PRT-Animal Control Workers","13434","7377","6057"
"PRT-Private Detectives And Investigators","104510","59958","44552"
"PRT-Security Guards And Gaming Surveillance Officers","1236980","949269","287711"
"PRT-Crossing Guards And Flaggers","86916","38182","48734"
"PRT-Transportation Security Screeners","43584","27499","16085"
"PRT-School Bus Monitors","17514","3190","14324"
"PRT-Other Protective Service Workers","330575","173603","156972"
"EAT-Chefs And Head Cooks","512052","394691","117361"
"EAT-First-Line Supervisors Of Food Preparation And Serving Workers","690365","286252","404113"
"EAT-Cooks","3118983","1825647","1293336"
"EAT-Food Preparation Workers","1388610","569744","818866"
"EAT-Bartenders","537852","217619","320233"
"EAT-Fast Food And Counter Workers","848346","305051","543295"
"EAT-Waiters And Waitresses","2929225","844906","2084319"
"EAT-Food Servers, Nonrestaurant","243470","81411","162059"
"EAT-Dining Room And Cafeteria Attendants And Bartender Helpers.","470985","275155","195830"
"EAT-Dishwashers","504824","399565","105259"
"EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop","458790","69548","389242"
"EAT-Food Preparation And Serving Related Workers, All Other.","20094","9849","10245"
"CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers","277086","165337","111749"
"CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers","186670","174364","12306"
"CLN-Maids And Housekeeping Cleaners","2083429","244538","1838891"
